Last Name/Surname,Total,Two or More Races,Percentage,Rank,U.S. Rank
PRUITT,"44,365","1,007",2.27%,580,777
ALSTON,"30,693","1,007",3.28%,581,"1,148"
STAFFORD,"46,394","1,002",2.16%,582,747
MORAN,"88,615","1,001",1.13%,583,353
BULLOCK,"44,740",998,2.23%,584,770
GOLDEN,"49,360",997,2.02%,585,699
LI,"111,786",995,0.89%,586,273
MOON,"45,528",993,2.18%,587,758
COCHRAN,"59,350",991,1.67%,588,567
WHITEHEAD,"44,373",990,2.23%,589,776
ZIMMERMAN,"83,265",983,1.18%,590,379
ELLISON,"42,827",981,2.29%,591,809
DALTON,"52,184",976,1.87%,592,654
SAWYER,"49,028",976,1.99%,593,707
CALHOUN,"43,180",976,2.26%,594,803
WALL,"53,794",974,1.81%,595,631
SNOW,"47,528",974,2.05%,596,734
STEPHENSON,"47,641",972,2.04%,597,733
WALLS,"41,025",972,2.37%,598,842
SHIELDS,"50,832",966,1.90%,599,672
MCMILLAN,"40,237",966,2.40%,600,860
COHEN,"89,091",962,1.08%,601,351
DURHAM,"43,635",960,2.20%,602,792
BEARD,"48,207",959,1.99%,603,721
KIRBY,"53,767",957,1.78%,604,633
NIXON,"38,147",957,2.51%,605,907
HENDRICKS,"43,197",955,2.21%,606,802
SAMPSON,"39,277",954,2.43%,607,886
GOMEZ,"365,655",951,0.26%,608,51
FLYNN,"63,400",951,1.50%,609,534
HOBBS,"48,522",951,1.96%,610,717
HORN,"52,138",949,1.82%,611,655
PHELPS,"52,044",947,1.82%,612,657
HUYNH,"54,996",946,1.72%,613,620
AVERY,"39,564",946,2.39%,614,878
BOYER,"50,742",944,1.86%,615,676
LOWERY,"43,278",943,2.18%,616,799
GILES,"40,598",942,2.32%,617,849
CHU,"28,508",941,3.30%,618,"1,238"
ABBOTT,"52,739",939,1.78%,619,645
MARKS,"49,177",939,1.91%,620,703
SHANNON,"46,147",937,2.03%,621,752
WILKINSON,"53,739",935,1.74%,622,634
HEATH,"51,877",934,1.80%,623,660
DILLARD,"31,021",931,3.00%,624,"1,130"
HARDIN,"42,469",930,2.19%,625,817
MCCLURE,"47,742",926,1.94%,626,731
MCLEAN,"43,260",926,2.14%,627,801
BRANCH,"35,225",926,2.63%,628,990
RICH,"49,481",925,1.87%,629,696
ATKINSON,"53,376",923,1.73%,630,637
MCCULLOUGH,"45,852",922,2.01%,631,755
HOUSE,"41,000",922,2.25%,632,844
KLEIN,"81,471",921,1.13%,633,392
WINTERS,"44,914",921,2.05%,634,766
HINTON,"35,606",919,2.58%,635,979
COTTON,"33,374",918,2.75%,636,"1,044"
BRADSHAW,"42,465",917,2.16%,637,818
PARRISH,"49,733",915,1.84%,638,694
HENSLEY,"51,081",914,1.79%,639,668
DECKER,"56,576",911,1.61%,640,597
PETERSEN,"58,480",906,1.55%,641,571
HICKMAN,"41,163",906,2.20%,642,838
WHITFIELD,"29,962",905,3.02%,643,"1,171"
SLOAN,"43,261",904,2.09%,644,800
SHAFFER,"59,943",899,1.50%,645,560
GENTRY,"43,027",899,2.09%,646,806
KANE,"50,584",895,1.77%,647,680
HANNA,"39,890",894,2.24%,648,867
CHERRY,"35,877",893,2.49%,649,970
MCCALL,"43,483",891,2.05%,650,794
MERRITT,"45,594",889,1.95%,651,756
CROSBY,"40,563",888,2.19%,652,851
MAYO,"35,228",888,2.52%,653,989
LEACH,"44,581",887,1.99%,654,772
DUDLEY,"35,781",887,2.48%,655,972
FISCHER,"72,357",883,1.22%,656,455
NOBLE,"41,667",883,2.12%,657,829
GALLAGHER,"69,834",880,1.26%,658,479
VANCE,"47,324",880,1.86%,659,737
MIDDLETON,"42,578",877,2.06%,660,813
NG,"31,210",877,2.81%,661,"1,125"
MCFARLAND,"41,300",876,2.12%,662,835
MANUEL,"27,529",873,3.17%,663,"1,277"
HARDING,"39,787",871,2.19%,664,871
SALEH,"9,656",870,9.01%,665,"3,682"
ORR,"44,388",870,1.96%,666,774
DONALDSON,"36,558",870,2.38%,667,950
DIAZ,"347,636",869,0.25%,668,55
BOOTH,"49,402",869,1.76%,669,697
TILLMAN,"30,825",869,2.82%,670,"1,139"
LEONG,"9,094",867,9.53%,671,"3,902"
ASHLEY,"38,499",866,2.25%,672,900
SCHWARTZ,"90,071",865,0.96%,673,345
VALENTINE,"40,395",864,2.14%,674,856
HOOVER,"57,497",862,1.50%,675,580
KENT,"44,325",860,1.94%,676,778
CONWAY,"44,320",860,1.94%,677,779
HANCOCK,"50,558",859,1.70%,678,681
NAKAMURA,"7,658",858,11.20%,679,"4,633"
POLLARD,"35,749",858,2.40%,680,974
MCKEE,"44,137",856,1.94%,681,780
SELLERS,"42,577",856,2.01%,682,814
LIVINGSTON,"42,103",855,2.03%,683,821
MADISON,"28,411",855,3.01%,684,"1,241"
TERRELL,"35,408",853,2.41%,685,983
SHEPARD,"39,430",852,2.16%,686,882
MCINTYRE,"43,842",846,1.93%,687,786
BENTON,"37,912",845,2.23%,688,912
AYERS,"39,623",844,2.13%,689,875
FINLEY,"37,672",844,2.24%,690,922
ROLLINS,"35,132",843,2.40%,691,992
MCPHERSON,"36,125",842,2.33%,692,965
TAN,"32,120",842,2.62%,693,"1,090"
LARSEN,"55,960",839,1.50%,694,606
BRIGHT,"33,281",839,2.52%,695,"1,050"
YU,"52,035",838,1.61%,696,658
HERRING,"38,733",837,2.16%,697,894
FROST,"42,015",836,1.99%,698,822
HUFFMAN,"50,786",833,1.64%,699,674
DILLON,"50,465",833,1.65%,700,683
DUNLAP,"39,063",832,2.13%,701,890
EVERETT,"39,593",831,2.10%,702,876
DYER,"47,170",830,1.76%,703,742
BONNER,"33,446",829,2.48%,704,"1,042"
HURST,"46,244",828,1.79%,705,749
BERNARD,"38,512",828,2.15%,706,899
HARTMAN,"64,106",827,1.29%,707,524
RAYMOND,"40,275",826,2.05%,708,857
DODSON,"37,566",826,2.20%,709,927
RICHMOND,"37,053",823,2.22%,710,934
BATTLE,"26,432",822,3.11%,711,"1,332"
HESS,"59,486",821,1.38%,712,564
COLBERT,"22,940",821,3.58%,713,"1,570"
MCKAY,"38,681",820,2.12%,714,895
ANDRADE,"65,037",819,1.26%,715,516
BUCK,"42,639",819,1.92%,716,812
DOTSON,"33,347",817,2.45%,717,"1,045"
CHOW,"17,059",817,4.79%,718,"2,122"
GAMBLE,"34,005",816,2.40%,719,"1,024"
MCCRAY,"28,024",815,2.91%,720,"1,252"
EATON,"47,184",812,1.72%,721,740
BLEVINS,"38,229",810,2.12%,722,906
CLINE,"50,258",809,1.61%,723,684
HULL,"43,018",809,1.88%,724,807
JOHN,"33,543",808,2.41%,725,"1,034"
COSTA,"38,265",807,2.11%,726,904
MCKNIGHT,"34,055",807,2.37%,727,"1,023"
MEADOWS,"44,500",805,1.81%,728,773
FREDERICK,"41,394",803,1.94%,729,833
BOLDEN,"21,819",801,3.67%,730,"1,649"
KERR,"44,711",796,1.78%,731,771
BARTLETT,"43,648",794,1.82%,732,791
BURCH,"36,269",794,2.19%,733,958
CHANEY,"33,201",794,2.39%,734,"1,059"
YAMAMOTO,"7,547",794,10.52%,735,"4,702"
KRAMER,"63,936",793,1.24%,736,526
BROWNING,"43,329",793,1.83%,737,797
ROACH,"45,019",792,1.76%,738,764
WINSTON,"21,667",791,3.65%,739,"1,662"
GRACE,"28,098",790,2.81%,740,"1,248"
GLASS,"41,802",786,1.88%,741,823
CLEMONS,"27,022",786,2.91%,742,"1,300"
HENDRIX,"35,194",785,2.23%,743,991
GALLOWAY,"34,909",785,2.25%,744,"1,002"
LESTER,"44,784",784,1.75%,745,768
FOLEY,"51,865",783,1.51%,746,661
CALLAHAN,"50,524",783,1.55%,747,682
PUGH,"39,559",783,1.98%,748,879
KEY,"33,501",781,2.33%,749,"1,037"
HUSSAIN,"16,909",781,4.62%,750,"2,146"
BLUE,"24,341",781,3.21%,751,"1,466"
LOCKLEAR,"19,716",781,3.96%,752,"1,819"
MCNEIL,"34,368",780,2.27%,753,"1,018"
HESTER,"35,642",777,2.18%,754,976
SMALL,"40,212",776,1.93%,755,861
HOWE,"42,265",773,1.83%,756,820
WALLER,"36,805",773,2.10%,757,942
DICKSON,"35,312",773,2.19%,758,986
TRAVIS,"34,985",773,2.21%,759,998
ROMERO,"208,614",772,0.37%,760,115
BRAY,"34,906",771,2.21%,761,"1,003"
LOPES,"18,310",771,4.21%,762,"1,976"
SPENCE,"36,129",770,2.13%,763,964
GOINS,"22,837",770,3.37%,764,"1,574"
SCHROEDER,"67,977",768,1.13%,765,489
BAUTISTA,"60,264",765,1.27%,766,558
TALLEY,"30,014",765,2.55%,767,"1,170"
NOLAN,"46,054",764,1.66%,768,754
RUCKER,"26,581",763,2.87%,769,"1,326"
POTTS,"38,277",762,1.99%,770,902
BAUER,"65,004",761,1.17%,771,517
PHAN,"37,836",761,2.01%,772,918
HAYDEN,"37,451",760,2.03%,773,930
MAYFIELD,"29,805",760,2.55%,774,"1,184"
BURKS,"27,523",760,2.76%,775,"1,278"
CHOI,"50,786",757,1.49%,776,674
HALEY,"37,858",757,2.00%,777,917
PIERRE,"33,913",756,2.23%,778,"1,026"
MICHAEL,"40,736",754,1.85%,779,847
PETTY,"34,882",753,2.16%,780,"1,005"
IBRAHIM,"15,915",753,4.73%,781,"2,290"
MORSE,"41,774",752,1.80%,782,824
WEEKS,"41,565",752,1.81%,783,831
BENTLEY,"40,193",752,1.87%,784,862
ESTES,"36,318",752,2.07%,785,956
COVINGTON,"27,068",752,2.78%,786,"1,298"
FORBES,"33,813",751,2.22%,787,"1,028"
TANAKA,"7,994",751,9.39%,788,"4,439"
SHEPPARD,"36,960",750,2.03%,789,938
PRYOR,"27,805",748,2.69%,790,"1,263"
MACKEY,"30,749",747,2.43%,791,"1,143"
STARKS,"20,130",747,3.71%,792,"1,782"
TANG,"34,961",745,2.13%,793,999
HOOPER,"34,247",743,2.17%,794,"1,020"
STOUT,"43,305",741,1.71%,795,798
SLAUGHTER,"27,155",741,2.73%,796,"1,295"
RUSH,"39,802",740,1.86%,797,869
EWING,"33,314",740,2.22%,798,"1,049"
BIRD,"33,457",739,2.21%,799,"1,041"
FARRELL,"52,321",738,1.41%,800,652
MACDONALD,"46,717",738,1.58%,801,744
HONG,"31,670",738,2.33%,802,"1,106"
BARR,"44,130",737,1.67%,803,781
GILLESPIE,"42,693",734,1.72%,804,811
MINOR,"30,702",734,2.39%,805,"1,145"
HEARD,"23,408",733,3.13%,806,"1,534"
MUELLER,"64,191",732,1.14%,807,523
CHENG,"32,982",732,2.22%,808,"1,063"
KAUR,"48,753",731,1.50%,809,711
HORNE,"37,689",731,1.94%,810,921
HOLDEN,"34,824",731,2.10%,811,"1,008"
HATCHER,"29,235",731,2.50%,812,"1,210"
SANFORD,"36,312",730,2.01%,813,957
WYNN,"29,417",727,2.47%,814,"1,203"
EDMONDS,"24,857",726,2.92%,815,"1,432"
LOUIS,"23,738",722,3.04%,816,"1,510"
GILLIAM,"29,414",721,2.45%,817,"1,204"
MUHAMMAD,"19,076",721,3.78%,818,"1,884"
MCGHEE,"23,461",720,3.07%,819,"1,529"
PENNINGTON,"40,854",719,1.76%,820,846
CLEVELAND,"31,123",719,2.31%,821,"1,127"
SIMMS,"26,287",718,2.73%,822,"1,340"
ORTIZ,"286,899",717,0.25%,823,68
TOM,"10,350",715,6.91%,824,"3,452"
RAHMAN,"18,097",715,3.95%,825,"1,994"
FULTON,"32,258",713,2.21%,826,"1,083"
WOOTEN,"31,249",712,2.28%,827,"1,123"
FOREMAN,"28,605",712,2.49%,828,"1,234"
MCLEOD,"30,769",711,2.31%,829,"1,141"
SANTIAGO,"122,212",709,0.58%,830,248
ARCHER,"34,949",709,2.03%,831,"1,000"
MCCONNELL,"39,754",708,1.78%,832,872
WESLEY,"23,135",706,3.05%,833,"1,555"
HAIRSTON,"16,090",705,4.38%,834,"2,260"
CLEMENTS,"38,044",704,1.85%,835,908
MADDOX,"36,250",703,1.94%,836,959
MIRANDA,"93,628",702,0.75%,837,330
BERG,"48,746",702,1.44%,838,712
GOULD,"38,924",701,1.80%,839,891
BURRIS,"26,760",701,2.62%,840,"1,312"
BURRELL,"24,504",701,2.86%,841,"1,458"
VALDEZ,"124,995",700,0.56%,842,244
GEE,"23,241",700,3.01%,843,"1,547"
BUCKLEY,"41,348",699,1.69%,844,834
WHITNEY,"35,118",699,1.99%,845,994
WOMACK,"28,201",699,2.48%,846,"1,245"
MULLEN,"37,502",698,1.86%,847,928
BLANCHARD,"37,695",697,1.85%,848,920
ODOM,"35,020",697,1.99%,849,996
STEWARD,"22,318",696,3.12%,850,"1,610"
WILDER,"31,018",695,2.24%,851,"1,131"
HARDEN,"26,617",695,2.61%,852,"1,322"
ROTH,"58,278",694,1.19%,853,574
JOYNER,"29,884",693,2.32%,854,"1,177"
FRYE,"36,973",691,1.87%,855,937
JARVIS,"35,350",689,1.95%,856,985
BOLTON,"32,815",689,2.10%,857,"1,068"
HOLMAN,"32,788",689,2.10%,858,"1,069"
JEFFRIES,"23,510",689,2.93%,859,"1,526"
DUKE,"35,053",687,1.96%,860,995
TYSON,"28,947",686,2.37%,861,"1,221"
PAYTON,"23,670",686,2.90%,862,"1,515"
STANTON,"35,997",684,1.90%,863,968
WALTER,"48,024",682,1.42%,864,727
SEXTON,"43,133",682,1.58%,865,804
PACE,"39,879",682,1.71%,866,868
JUSTICE,"32,480",682,2.10%,867,"1,077"
GIVENS,"25,067",682,2.72%,868,"1,419"
SWEENEY,"52,410",681,1.30%,869,651
CANTRELL,"35,266",681,1.93%,870,988
ONEILL,"50,028",680,1.36%,871,689
CASE,"39,319",680,1.73%,872,885
KIDD,"33,186",680,2.05%,873,"1,060"
LANCASTER,"32,362",680,2.10%,874,"1,080"
STARR,"30,363",680,2.24%,875,"1,158"
BEST,"37,923",679,1.79%,876,911
DAUGHERTY,"34,987",679,1.94%,877,997
BRANDON,"26,284",678,2.58%,878,"1,342"
VANG,"48,036",677,1.41%,879,726
DOWNING,"28,880",676,2.34%,880,"1,225"
FITZPATRICK,"40,449",675,1.67%,881,852
KINNEY,"31,558",675,2.14%,882,"1,113"
CRANE,"37,870",674,1.78%,883,916
COOKE,"33,223",674,2.03%,884,"1,056"
PECK,"40,055",673,1.68%,885,864
BEAN,"37,571",673,1.79%,886,926
VAUGHAN,"38,830",672,1.73%,887,893
MCFADDEN,"31,839",672,2.11%,888,"1,098"
GUY,"28,852",672,2.33%,889,"1,227"
SYKES,"27,546",672,2.44%,890,"1,276"
FAULKNER,"36,466",671,1.84%,891,952
LAKE,"32,104",671,2.09%,892,"1,091"
ERVIN,"25,698",671,2.61%,893,"1,377"
NICHOLAS,"27,922",670,2.40%,894,"1,258"
BLACKBURN,"39,097",669,1.71%,895,889
CHILDS,"28,359",669,2.36%,896,"1,242"
LINDSAY,"33,255",668,2.01%,897,"1,052"
LAW,"32,122",668,2.08%,898,"1,089"
RIDDLE,"33,507",667,1.99%,899,"1,036"
POLK,"27,094",667,2.46%,900,"1,296"
DOMINGO,"11,012",666,6.05%,901,"3,283"
FRY,"38,029",666,1.75%,902,909
LYNN,"37,644",666,1.77%,903,924
ABRAHAM,"31,303",664,2.12%,904,"1,120"
SAMUEL,"23,125",664,2.87%,905,"1,558"
HOLDER,"33,465",663,1.98%,906,"1,040"
SEARS,"32,206",663,2.06%,907,"1,085"
BACON,"29,860",663,2.22%,908,"1,181"
TATUM,"24,558",663,2.70%,909,"1,451"
TOLBERT,"24,375",663,2.72%,910,"1,464"
BLANKENSHIP,"43,830",662,1.51%,911,787
WOODWARD,"36,764",662,1.80%,912,944
STUART,"36,540",661,1.81%,913,951
FREITAS,"11,041",660,5.98%,914,"3,270"
ROWLAND,"35,121",660,1.88%,915,993
JACOBSON,"44,808",659,1.47%,916,767
HANEY,"33,898",658,1.94%,917,"1,027"
COOLEY,"33,231",658,1.98%,918,"1,054"
PICKETT,"31,611",658,2.08%,919,"1,108"
PENN,"19,409",658,3.39%,920,"1,849"
MAYES,"25,256",657,2.60%,921,"1,408"
JAMISON,"27,697",656,2.37%,922,"1,270"
MORALES,"311,777",655,0.21%,923,63
HOLLEY,"30,231",653,2.16%,924,"1,163"
KENDRICK,"27,915",653,2.34%,925,"1,259"
COWAN,"32,586",652,2.00%,926,"1,074"
GUTHRIE,"31,956",652,2.04%,927,"1,095"
MCNEAL,"20,778",652,3.14%,928,"1,723"
MEEKS,"29,457",651,2.21%,929,"1,202"
CROCKETT,"23,769",651,2.74%,930,"1,507"
MCGOWAN,"33,340",650,1.95%,931,"1,046"
LOCKHART,"27,883",650,2.33%,932,"1,261"
SWEET,"30,051",649,2.16%,933,"1,169"
BARRY,"47,274",648,1.37%,934,738
DELEON,"87,414",647,0.74%,935,359
HOLLIS,"28,617",647,2.26%,936,"1,233"
AQUINO,"25,783",647,2.51%,937,"1,368"
DAILEY,"32,719",645,1.97%,938,"1,072"
MCGILL,"27,330",645,2.36%,939,"1,282"
DANG,"30,389",644,2.12%,940,"1,155"
CHO,"33,490",643,1.92%,941,"1,038"
RUTHERFORD,"28,079",643,2.29%,942,"1,250"
NIELSEN,"42,773",642,1.50%,943,810
BRITTON,"29,040",642,2.21%,944,"1,217"
CHAVIS,"14,844",641,4.32%,945,"2,442"
FERNANDES,"18,018",641,3.56%,946,"2,007"
STARK,"41,735",639,1.53%,947,827
MCCARTY,"36,944",639,1.73%,948,939
ELMORE,"25,774",639,2.48%,949,"1,369"
ENG,"10,682",637,5.96%,950,"3,352"
FERREIRA,"27,898",636,2.28%,951,"1,260"
GONSALVES,"8,494",636,7.49%,952,"4,173"
FERRELL,"33,418",635,1.90%,953,"1,043"
BROWNE,"22,289",635,2.85%,954,"1,615"
BENDER,"39,551",633,1.60%,955,881
DUFFY,"38,835",633,1.63%,956,892
WATANABE,"6,204",633,10.20%,957,"5,605"
MAYNARD,"36,460",631,1.73%,958,953
CHRISTOPHER,"29,067",631,2.17%,959,"1,214"
DUNBAR,"26,405",631,2.39%,960,"1,335"
PACHECO,"77,642",629,0.81%,961,419
RIGGS,"34,506",628,1.82%,962,"1,011"
LOTT,"26,174",628,2.40%,963,"1,350"
BUCKNER,"24,822",628,2.53%,964,"1,434"
MADDEN,"35,438",627,1.77%,965,982
EPPS,"20,112",627,3.12%,966,"1,784"
OSBORN,"32,439",626,1.93%,967,"1,078"
KEYS,"18,899",626,3.31%,968,"1,900"
VILLANUEVA,"61,883",625,1.01%,969,539
WOO,"13,003",625,4.81%,970,"2,775"
BLAND,"26,722",625,2.34%,971,"1,315"
GABRIEL,"26,578",625,2.35%,972,"1,327"
FARRIS,"29,877",624,2.09%,973,"1,179"
VO,"36,236",623,1.72%,974,960
MEDINA,"188,497",622,0.33%,975,133
DALE,"29,757",622,2.09%,976,"1,188"
SATO,"7,095",622,8.77%,977,"4,956"
KENDALL,"31,209",621,1.99%,978,"1,126"
LAI,"19,157",621,3.24%,979,"1,873"
BRENNAN,"49,238",620,1.26%,980,701
SPRINGER,"31,643",620,1.96%,981,"1,107"
MCALLISTER,"29,544",620,2.10%,982,"1,197"
COFFEY,"36,423",619,1.70%,983,955
MOBLEY,"29,065",619,2.13%,984,"1,215"
ALFORD,"30,771",618,2.01%,985,"1,140"
FINCH,"30,769",618,2.01%,986,"1,141"
BARLOW,"33,335",617,1.85%,987,"1,047"
BRITT,"31,474",617,1.96%,988,"1,115"
LACY,"23,110",617,2.67%,989,"1,559"
COMPTON,"35,830",616,1.72%,990,971
STERLING,"25,894",616,2.38%,991,"1,362"
PAIGE,"20,063",616,3.07%,992,"1,789"
SHARPE,"28,879",615,2.13%,993,"1,226"
BARRON,"52,070",614,1.18%,994,656
LEVY,"37,228",614,1.65%,995,932
LOCKE,"27,643",614,2.22%,996,"1,272"
LEBLANC,"42,575",613,1.44%,997,815
FARLEY,"38,528",613,1.59%,998,898
TRUONG,"38,267",612,1.60%,999,903
CROWE,"29,953",611,2.04%,"1,000","1,172"
NEWELL,"32,909",609,1.85%,"1,001","1,064"
VU,"36,179",608,1.68%,"1,002",962
DELANEY,"33,218",608,1.83%,"1,003","1,057"
EMERSON,"30,702",608,1.98%,"1,004","1,145"
HERRON,"26,559",608,2.29%,"1,005","1,328"
NORWOOD,"22,461",606,2.70%,"1,006","1,596"
DODD,"30,732",605,1.97%,"1,007","1,144"
ABDULLAH,"8,314",605,7.28%,"1,008","4,272"
KLINE,"45,390",604,1.33%,"1,009",761
SWAIN,"25,157",604,2.40%,"1,010","1,412"
CONRAD,"40,707",602,1.48%,"1,011",848
HSU,"16,907",602,3.56%,"1,012","2,147"
HIGHTOWER,"20,065",602,3.00%,"1,013","1,787"
FRANKS,"30,155",600,1.99%,"1,014","1,165"
SAMUELS,"22,207",600,2.70%,"1,015","1,621"
GAY,"32,025",599,1.87%,"1,016","1,094"
MAHONEY,"40,397",598,1.48%,"1,017",855
GORE,"25,648",598,2.33%,"1,018","1,378"
LESLIE,"25,078",597,2.38%,"1,019","1,417"
BERGER,"43,851",596,1.36%,"1,020",785
BOYCE,"26,376",596,2.26%,"1,021","1,337"
VINSON,"25,341",596,2.35%,"1,022","1,401"
ARRINGTON,"22,840",596,2.61%,"1,023","1,573"
CRAFT,"31,452",594,1.89%,"1,024","1,116"
RANKIN,"28,821",594,2.06%,"1,025","1,229"
CARTWRIGHT,"22,156",594,2.68%,"1,026","1,626"
MCCLENDON,"18,857",592,3.14%,"1,027","1,907"
HURLEY,"39,796",589,1.48%,"1,028",870
GODFREY,"28,734",589,2.05%,"1,029","1,230"
CHURCH,"36,072",588,1.63%,"1,030",966
LANDRY,"39,391",587,1.49%,"1,031",884
DOWNS,"33,922",587,1.73%,"1,032","1,025"
RATLIFF,"30,083",587,1.95%,"1,033","1,168"
GUTIERREZ,"293,218",586,0.20%,"1,034",67
TEAGUE,"24,514",586,2.39%,"1,035","1,456"
HAYS,"34,191",585,1.71%,"1,036","1,021"
ENGLAND,"29,926",584,1.95%,"1,037","1,174"
KANG,"32,221",583,1.81%,"1,038","1,084"
BEACH,"30,867",583,1.89%,"1,039","1,137"
STINSON,"26,681",582,2.18%,"1,040","1,317"
SEWELL,"22,294",582,2.61%,"1,041","1,614"
WILLS,"28,219",581,2.06%,"1,042","1,244"
PEOPLES,"18,672",581,3.11%,"1,043","1,935"
ODELL,"31,349",580,1.85%,"1,044","1,117"
CARVALHO,"10,877",578,5.31%,"1,045","3,302"
HILTON,"28,918",578,2.00%,"1,046","1,223"
CHAVEZ,"250,898",577,0.23%,"1,047",83
MANLEY,"25,136",576,2.29%,"1,048","1,413"
CASH,"29,476",575,1.95%,"1,049","1,200"
LANGLEY,"27,252",575,2.11%,"1,050","1,289"
GOOD,"35,446",574,1.62%,"1,051",981
YARBROUGH,"24,749",574,2.32%,"1,052","1,441"
RUIZ,"238,234",572,0.24%,"1,053",89
CARNEY,"32,897",572,1.74%,"1,054","1,066"
DIGGS,"14,467",571,3.95%,"1,055","2,497"
CROW,"24,089",571,2.37%,"1,056","1,482"
LUKE,"18,425",571,3.10%,"1,057","1,961"
CORBIN,"26,876",570,2.12%,"1,058","1,307"
BYERS,"32,174",569,1.77%,"1,059","1,087"
CHILDERS,"30,570",569,1.86%,"1,060","1,150"
KNAPP,"41,771",568,1.36%,"1,061",825
GARLAND,"26,779",568,2.12%,"1,062","1,309"
MCCANN,"35,408",567,1.60%,"1,063",983
HATFIELD,"34,381",567,1.65%,"1,064","1,017"
SLATER,"32,584",567,1.74%,"1,065","1,075"
CHATMAN,"15,473",566,3.66%,"1,066","2,355"
SHIRLEY,"27,224",566,2.08%,"1,067","1,292"
TROTTER,"19,927",566,2.84%,"1,068","1,801"
PATE,"29,327",563,1.92%,"1,069","1,208"
PIERSON,"27,983",562,2.01%,"1,070","1,254"
AMOS,"23,621",562,2.38%,"1,071","1,517"
WOODRUFF,"26,286",560,2.13%,"1,072","1,341"
GUNN,"23,524",560,2.38%,"1,073","1,525"
FORREST,"22,954",560,2.44%,"1,074","1,569"
ALBERT,"32,507",559,1.72%,"1,075","1,076"
MERCER,"34,431",558,1.62%,"1,076","1,016"
NGO,"33,005",558,1.69%,"1,077","1,062"
HEBERT,"41,275",557,1.35%,"1,078",836
AHMADI,"2,285",557,24.38%,"1,079","13,344"
HAYWOOD,"18,360",556,3.03%,"1,080","1,970"
CROWDER,"24,396",554,2.27%,"1,081","1,460"
GUERRERO,"128,677",553,0.43%,"1,082",234
SOARES,"11,694",553,4.73%,"1,083","3,069"
KOCH,"49,395",553,1.12%,"1,084",698
NOEL,"31,768",553,1.74%,"1,085","1,103"
BAIRD,"34,721",552,1.59%,"1,086","1,010"
IRWIN,"34,297",552,1.61%,"1,087","1,019"
DYE,"28,182",552,1.96%,"1,088","1,246"
REECE,"24,145",551,2.28%,"1,089","1,479"
DAVIES,"33,753",550,1.63%,"1,090","1,030"
SWAN,"23,001",550,2.39%,"1,091","1,564"
NAVARRO,"99,807",549,0.55%,"1,092",315
TAVARES,"12,766",549,4.30%,"1,093","2,825"
CALLOWAY,"16,689",549,3.29%,"1,094","2,175"
SMART,"25,528",549,2.15%,"1,095","1,388"
GIPSON,"19,470",549,2.82%,"1,096","1,843"
CARVER,"32,415",548,1.69%,"1,097","1,079"
HENDRICKSON,"30,259",548,1.81%,"1,098","1,162"
SNIDER,"32,148",547,1.70%,"1,099","1,088"
KENNEY,"27,759",547,1.97%,"1,100","1,266"
CLIFTON,"24,758",547,2.21%,"1,101","1,439"
HEWITT,"29,694",546,1.84%,"1,102","1,191"
CONNOR,"29,346",546,1.86%,"1,103","1,207"
MERRILL,"32,620",545,1.67%,"1,104","1,073"
KIRKLAND,"30,283",545,1.80%,"1,105","1,161"
ELDER,"29,796",545,1.83%,"1,106","1,186"
PLUMMER,"25,596",545,2.13%,"1,107","1,382"
PEREIRA,"29,898",544,1.82%,"1,108","1,175"
KNOWLES,"28,460",544,1.91%,"1,109","1,239"
YOUNGBLOOD,"18,197",544,2.99%,"1,110","1,982"
GARY,"22,310",544,2.44%,"1,111","1,612"
WEISS,"57,112",543,0.95%,"1,112",587
SARGENT,"27,786",542,1.95%,"1,113","1,265"
HOPPER,"27,353",542,1.98%,"1,114","1,281"
BLACKMON,"22,130",542,2.45%,"1,115","1,628"
HUTCHINS,"26,251",541,2.06%,"1,116","1,344"
WOODSON,"17,242",541,3.14%,"1,117","2,098"
GOODE,"22,356",541,2.42%,"1,118","1,605"
PEARCE,"31,060",540,1.74%,"1,119","1,129"
ALVAREZ,"233,983",538,0.23%,"1,120",92
SCHAEFER,"41,063",538,1.31%,"1,121",841
GRADY,"26,103",538,2.06%,"1,122","1,355"
DONOVAN,"40,410",537,1.33%,"1,123",853
MOONEY,"33,555",537,1.60%,"1,124","1,033"
MCGINNIS,"26,953",536,1.99%,"1,125","1,303"
ROUSE,"26,519",536,2.02%,"1,126","1,330"
HERBERT,"26,417",536,2.03%,"1,127","1,334"
MIMS,"19,139",536,2.80%,"1,128","1,878"
WORKMAN,"31,856",535,1.68%,"1,129","1,097"
RANSOM,"16,871",535,3.17%,"1,130","2,150"
MOYER,"37,050",534,1.44%,"1,131",935
CHILDRESS,"24,937",534,2.14%,"1,132","1,424"
THURMAN,"23,950",534,2.23%,"1,133","1,492"
BOSWELL,"22,540",534,2.37%,"1,134","1,591"
MILTON,"20,703",534,2.58%,"1,135","1,732"
SANDERSON,"24,384",532,2.18%,"1,136","1,462"
NEELY,"23,843",532,2.23%,"1,137","1,502"
GASTON,"19,502",532,2.73%,"1,138","1,837"
BEATTY,"25,510",531,2.08%,"1,139","1,389"
JACOB,"24,688",531,2.15%,"1,140","1,444"
ODONNELL,"43,460",530,1.22%,"1,141",795
MAYER,"39,555",530,1.34%,"1,142",880
DREW,"23,722",529,2.23%,"1,143","1,513"
